,young_family,everyone_else,gap,statement,factor
B1c_23,6.454251883745964,5.717679944095038,0.7365719396509256,FreshFork makes me feel like a valued customer,F4
B1b_22,6.617710583153348,5.897973445143257,0.7197371380100908,FreshFork makes my life easier,F1
B1c_25,6.5119825708061,5.7952146375791695,0.7167679332269303,FreshFork is a company I feel good about buying from,F1
B1b_12,6.614639397201292,5.909979064898813,0.7046603323024785,FreshFork is a place I enjoy visiting,F1
B1b_17,6.086206896551724,5.404225352112676,0.681981544439048,FreshFork offers food I feel good about eating,F1
B1_9,6.2695961995249405,5.602009273570324,0.6675869259546161,FreshFork makes a positive contribution to my community,F2
B1b_20,6.774784482758621,6.159217877094972,0.6155666056636493,FreshFork has good quality food and drink,F1
B1_3,6.735135135135135,6.129551820728292,0.605583314406843,I have a positive opinion of FreshFork,F2
B1_6,6.662162162162162,6.065406976744186,0.596755185417976,FreshFork is a brand changing for the better,F2
B1_2,6.733333333333333,6.140745953553835,0.5925873797794985,FreshFork is a brand I trust,F2
B1c_24,6.488648648648649,5.897202797202797,0.5914458514458518,FreshFork is a brand for someone like me,F1
B1_4,6.712121212121212,6.124912770411724,0.587208441709488,I would be disappointed if FreshFork went out of business tomorrow,F1
B1_7,6.29739336492891,5.735950731331794,0.5614426335971157,FreshFork is an ethical and responsible company,F2
B1_1,6.380798274002157,5.8218793828892,0.558918891112957,FreshFork is a brand I love,F2
B1_10,6.48974358974359,5.947194719471947,0.5425488702716423,FreshFork is a good employer,F2
B1_8,6.764497041420118,6.229230769230769,0.5352662721893493,FreshFork is making changes to reduce its environmental impact,F2
B1c_30,6.817253121452895,6.28874269005848,0.5285104313944151,FreshFork has a good reputation,F2
B1_5,6.523655913978494,6.001404494382022,0.522251419596472,I would speak positively about FreshFork to friends/colleagues,F2
B1b_18,6.673139158576052,6.152661064425771,0.5204780941502811,FreshFork is improving the nutritional content of its food,F1
B1b_15,6.980645161290322,6.487053883834849,0.49359127745547315,FreshFork has great tasting burgers,F1
B1b_19,6.520990312163617,6.030898876404494,0.4900914357591226,FreshFork uses quality ingredients,F1
B1c_27,6.855758880516684,6.366689993002099,0.489068887514585,FreshFork is a brand I know a lot about,F3
B1b_14,6.935275080906149,6.456140350877193,0.47913473002895657,FreshFork has great tasting food and drink,F1
B1c_32,6.834763948497854,6.370292887029288,0.46447106146856587,FreshFork has friendly staff,F4
B1c_31,6.75704989154013,6.299929922915207,0.457119968624923,FreshFork has good customer service,F4
B1b_13,6.664516129032258,6.2153846153846155,0.44913151364764214,FreshFork often brings out exciting new products,F1
B1b_16,6.698378378378378,6.256643356643357,0.4417350217350213,FreshFork has great tasting chicken,F1
B1_11,6.953763440860215,6.517869656622285,0.4358937842379307,FreshFork has a good range of food and drinks,F1
B1b_21,6.947255113024758,6.572529782761037,0.374725330263721,FreshFork offers good value for money,F1
B1c_28,7.1054897739504845,6.761006289308176,0.3444834846423088,FreshFork is a brand I see and hear a lot about,F3
B1c_26,7.3007518796992485,7.080588647512264,0.22016323218698464,FreshFork is a place for kids and families,F3
B1c_29,7.8125,7.610916724982506,0.2015832750174944,FreshFork is an established brand,F3
