,F1,F2,F3,F4,statement,belongs_to
B1_1,0.3455795570009987,0.7381727251225281,0.22236591830284297,0.19109486548595261,FreshFork is a brand I love,F2
B1_2,0.35470244993362293,0.7458830469603408,0.19051575562265025,0.19166612371633107,FreshFork is a brand I trust,F2
B1_3,0.32989883186336233,0.7455354095301612,0.2215368711719574,0.14257274695738076,I have a positive opinion of FreshFork,F2
B1_4,0.7443060962034818,0.3369920819521621,0.24804844012532964,0.17940637906403256,I would be disappointed if FreshFork went out of business tomorrow,F1
B1_5,0.333550510989885,0.7555260531541166,0.19036435195330703,0.18504457784649953,I would speak positively about FreshFork to friends/colleagues,F2
B1_6,0.3602971824442672,0.7340153360101274,0.21595256057224202,0.1757183196315214,FreshFork is a brand changing for the better,F2
B1_7,0.34246503422767327,0.7461286708482319,0.24863141478144174,0.13824481725538235,FreshFork is an ethical and responsible company,F2
B1_8,0.3491765785402721,0.7529954744149658,0.2250413359148256,0.15601182345673698,FreshFork is making changes to reduce its environmental impact,F2
B1_9,0.36161429226138514,0.7256577666053556,0.20041698511985734,0.19135117547622266,FreshFork makes a positive contribution to my community,F2
B1_10,0.344258937867678,0.7479300296456193,0.20115487642872304,0.16570665569302784,FreshFork is a good employer,F2
B1_11,0.7341126399271352,0.3355006543179518,0.24448706781634094,0.18167350879982214,FreshFork has a good range of food and drinks,F1
B1b_12,0.751551615124648,0.3329681041823321,0.21006143237584007,0.19107039312185403,FreshFork is a place I enjoy visiting,F1
B1b_13,0.7557577403945975,0.3340464137860117,0.23447693519623114,0.17082170947041242,FreshFork often brings out exciting new products,F1
B1b_14,0.7330947346709968,0.33796666948829324,0.23246486901433233,0.20005004505115728,FreshFork has great tasting food and drink,F1
B1b_15,0.7359211955542475,0.3543740758599675,0.23173484501169078,0.18602700401876335,FreshFork has great tasting burgers,F1
B1b_16,0.7423557480742086,0.32018465791812367,0.2333557153674247,0.18120537877895326,FreshFork has great tasting chicken,F1
B1b_17,0.7530939659102727,0.34320861655641804,0.18681983189581003,0.16481302475377543,FreshFork offers food I feel good about eating,F1
B1b_18,0.752001954989789,0.34558594859506786,0.22045255417449974,0.1679851484290557,FreshFork is improving the nutritional content of its food,F1
B1b_19,0.7332673868811839,0.3224624600114413,0.2408639071606664,0.1580335075141326,FreshFork uses quality ingredients,F1
B1b_20,0.7487559128432335,0.32181896401079946,0.22660608769941323,0.1715913083410875,FreshFork has good quality food and drink,F1
B1b_21,0.7366233794866257,0.3435066270513012,0.22159170182125684,0.17560144056709806,FreshFork offers good value for money,F1
B1b_22,0.7549754810956031,0.32948793551675265,0.23152067969488024,0.17458403649804932,FreshFork makes my life easier,F1
B1c_23,0.393759419665414,0.373962532128248,0.2590989601414112,0.607959739458936,FreshFork makes me feel like a valued customer,F4
B1c_24,0.7594642709239723,0.3362607182085959,0.204999443676402,0.17493145103133226,FreshFork is a brand for someone like me,F1
B1c_25,0.7642418935750823,0.31552208561254447,0.2187183527819294,0.16942511009109607,FreshFork is a company I feel good about buying from,F1
B1c_26,0.3890414096391917,0.33037074369366937,0.6683017815989525,0.17604877594009083,FreshFork is a place for kids and families,F3
B1c_27,0.369595309565567,0.3808190014586367,0.6484882604494964,0.2146848235578542,FreshFork is a brand I know a lot about,F3
B1c_28,0.3752165660460438,0.3471923091644105,0.6627673554662872,0.18460286891237918,FreshFork is a brand I see and hear a lot about,F3
B1c_29,0.36939248693349946,0.30868475428713527,0.6814617861779932,0.18928916552655292,FreshFork is an established brand,F3
B1c_30,0.3492226789479528,0.7552363075687437,0.21406828460446858,0.16953938510194136,FreshFork has a good reputation,F2
B1c_31,0.39469535061343913,0.3742570185832956,0.2692483468578677,0.6315354573493133,FreshFork has good customer service,F4
B1c_32,0.3923225879378106,0.38507830479288385,0.2654654349350288,0.6150958558678618,FreshFork has friendly staff,F4
